stable_ref,paragraph_id,run_start,run_end,internal_quote_chars,disposition,run_text
LDC.T01.SEC113.005.P002,ldc_t01_sec113_5_p002,0,136,1,PRESERVED_INSIDE_RUN,"""Écoute bien : «J'étais parfaitement heureux dans le Sein de Mon Père. Il n'y avait aucun bien que Je ne possédais : Joie, Félicité, etc."""
LDC.T01.SEC113.005.R02.P007,ldc_t01_sec113_5_r02_p007,0,140,1,PRESERVED_INSIDE_RUN,"'Je leur dis : «Mes enfants, donnez-Moi vos cœurs, qui sont Miens. En échange, Je vous donnerai tout ce que vous voudrez, y compris Moi-même"
LDC.T01.SEC011.P010,ldc_t01_sec011_p010,0,241,1,PRESERVED_INSIDE_RUN,"'Fais comme si, de Ma bouche, tu entendais ceci : «Ma fille, Je veux que tu souffres un peu. Par ces souffrances, Je te ferai belle. Je veux"
LDC.T01.SEC113.005.R02.P010,ldc_t01_sec113_5_r02_p010,0,132,1,PRESERVED_INSIDE_RUN,"""Oh ! ne trompez pas Mes espérances !» En voyant les créatures résister à Mon Amour et s'éloigner de Moi, J'ai essayé de les retenir."""
LDC.T02.1899-10-25.E001.P010,ldc_t02_1899_10_25_e001_p010,0,240,2,PRESERVED_INSIDE_RUN,"'Si un grand nombre d\'entre eux se perdent, là n\'est pas Ma Volonté. C\'est la conséquence de leur méchanceté et de leur volonté obstinée."
LDC.T02.1899-09-19.E001.P017,ldc_t02_1899_09_19_e001_p017,0,221,2,PRESERVED_INSIDE_RUN,"'Lorsque tu prendras possession de Mes Mérites comme s\'ils étaient tiens, ton ""rien"" ne se sentira plus dissous dans le néant, mais se sent"
LDC.T02.1899-09-19.E001.P020,ldc_t02_1899_09_19_e001_p020,0,159,2,PRESERVED_INSIDE_RUN,"'Ah ! Oui ! L\'Espérance permet à l\'âme d\'obtenir tout ce qu\'elle veut. Elle est la porte du ciel, le seul moyen d\'y entrer. Car ""qui es"
LDC.T02.1899-08-15.E001.P025,ldc_t02_1899_08_15_e001_p025,18,265,2,PRESERVED_INSIDE_RUN,"'Le premier cantique qu\'ils ont chanté fut le ""Je te salue, Marie"" vu que, par cette prière, on lui adresse les plus belles louanges, les p"
LDC.T02.1899-09-19.E001.P026,ldc_t02_1899_09_19_e001_p026,0,151,3,PRESERVED_INSIDE_RUN,"'Elle redonne la paix à l\'âme. Elle la pousse à se relever. Elle lui donne des forces nouvelles et la conduit devant le ""Roi Foi"" et la ""Re"
LDC.T02.1899-09-01.E001.P030,ldc_t02_1899_08_31_e001_p035,0,207,2,PRESERVED_INSIDE_RUN,"'Ça lui est égal qu\'une âme souffre ou pas, qu\'elle vive ou meure. Elle vise uniquement à gagner, ne s\'occupant de rien d\'autre. C\'est "
LDC.T02.1899-09-01.E001.P032,ldc_t02_1899_08_31_e001_p037,0,173,2,PRESERVED_INSIDE_RUN,"'Ah ! Oui ! C\'est vrai qu\'elle M\'a coûté la vie. Mais le mot ""obéissance"" résonne comme une douce musique à Mon oreille. C\'est pourquoi "
LDC.T03.1900-01-08.E001.P005,ldc_t03_1900_01_08_e001_p005,0,134,2,PRESERVED_INSIDE_RUN,"'Mais Je t\'assure qu\'ils ne trouveront pas une ombre de vice, ni rien qui ne dise ""vertu"". Car, quand tu écris, Moi-même guide ta main.'"
LDC.T04.1902-02-03.E001.P007,ldc_t04_1902_02_03_e001_p007,0,238,1,PRESERVED_INSIDE_RUN,"'Mais le Soleil divin, comme s\'Il nageait au milieu de la société, s\'écrie continuellement en disant : ""Ô homme, ne te souviens-tu pas de "
LDC.T04.1902-12-31.E001.P008,ldc_t04_1902_12_31_e001_p008,0,199,1,PRESERVED_INSIDE_RUN,"'Et cet état d\'expiation, Moi, Je l\'ai souffert à Gethsémani, au point où J\'en suis arrivé à dire : ""S\'il est possible, que ce calice s\"
LDC.T04.1902-12-04.E001.P010,ldc_t04_1902_12_04_e001_p010,15,67,2,PRESERVED_INSIDE_RUN,"'Que signifie cette Parole : ""Montre-toi au prêtre"" ?'"
LDC.T04.1902-11-21.E001.P021,ldc_t04_1902_11_21_e001_p021,0,133,1,PRESERVED_INSIDE_RUN,"'Cependant, dis-lui ceci : ""Veulent-ils s\'amuser avec Moi ? Malheur à celui qui veut plaisanter avec Moi et lutter contre Ma Volonté !'"
LDC.T05.1903-06-06.E001.P003,ldc_t05_1903_06_06_e001_p003,1,198,1,PRESERVED_INSIDE_RUN,"'Ma fille, tout ce que tu souffres dans tes bras, tes jambes et ton cœur, unis-le à Mes propres souffrances dans les plaies de Mes bras, de "
LDC.T05.1903-06-06.E001.P004,ldc_t05_1903_06_06_e001_p004,0,284,2,PRESERVED_INSIDE_RUN,'Et offre-toi à la Justice divine en réparation des mauvaises actions et des mauvais désirs des créatures en t\'unissant à ce que J\'ai souf
LDC.T05.1903-06-15.E001.P004,ldc_t05_1903_06_15_e001_p004,0,153,1,PRESERVED_INSIDE_RUN,"'Si, au contraire, la personne se sert de ses sens pour Me glorifier, Je peux lui dire : ""Tu es Mes Yeux, Mes Oreilles, Ma Bouche, Mes Mains"
LDC.T05.1903-06-16.E001.P011,ldc_t05_1903_06_16_e001_p011,0,230,4,PRESERVED_INSIDE_RUN,"'Si, au contraire, l\'âme dit ""oui"" à un moment et ""non"" à un autre ; si elle cherche un but particulier cette fois et un autre but la fois "
LDC.T06.1905-05-26.E001.P003,ldc_t06_1905_05_26_e001_p003,0,261,2,PRESERVED_INSIDE_RUN,"'À mesure que Je l\'entends, Je ne cesse de répéter : ""Tout, tout, tout de cette âme est mien. Je l\'aime, Je l\'aime tellement !"" Je scelle"
LDC.T06.1904-02-08.E001.P004,ldc_t06_1904_02_08_e001_p004,0,111,2,PRESERVED_INSIDE_RUN,"'Je peux lui dire : ""tu es Mon œil, Ma bouche, Mon cœur, Mes mains et Mes pieds."" De son côté, l\'âme peut dire :'"
LDC.T06.1905-07-22.E001.P004,ldc_t06_1905_07_22_e001_p004,0,141,1,PRESERVED_INSIDE_RUN,"'Eh bien, Moi, Je te dis : ""Mortifie-toi par amour pour Moi ou sois soulagée par Amour pour Moi, l\'un et l\'autre ont le même poids à Mes y"
LDC.T06.1903-12-10.E001.P005,ldc_t06_1903_12_10_e001_p005,0,169,2,PRESERVED_INSIDE_RUN,"""C'est la réalisation de : «Dieu est toujours ancien et toujours nouveau.» Ils ne se sentent jamais fatigués parce qu'ils vivent continuelle"
LDC.T06.1904-04-09.E001.P008,ldc_t06_1904_04_09_e001_p008,0,146,1,PRESERVED_INSIDE_RUN,"'Je te dirai : ""Comme tu es belle ! Je sens en toi le feu de Mon Amour et le parfum de Mes Fragrances. Je veux faire Ma demeure perpétuelle "
LDC.T06.1905-09-04.E001.P018,ldc_t06_1905_09_04_e001_p018,0,92,1,PRESERVED_INSIDE_RUN,"'Je dis : ""Ah ! C\'est la voix de Ma bien-aimée ! Je ne peux faire autrement que de l\'écouter.'"
LDC.T07.1906-09-11.E001.P002,ldc_t07_1906_09_11_e001_p002,16,302,2,PRESERVED_INSIDE_RUN,"'Ma fille, tous les travaux, les paroles et les pensées des créatures devraient être estampillés du sceau ""Ad Gloriam Dei"". Tous les travaux"
LDC.T07.1906-02-12.E001.P006,ldc_t07_1906_02_12_e001_p006,0,96,2,PRESERVED_INSIDE_RUN,"'Ma chère fille, pense à l\'ambiance de paix dans laquelle baignent les mots : ""Volonté de Dieu"" !'"
LDC.T07.1906-10-13.E001.P006,ldc_t07_1906_10_13_e001_p006,0,142,2,PRESERVED_INSIDE_RUN,"'Il viendra un temps où ils serviront de miroir pour les autres. Parce que tout ce que tu écris est dit par Moi et constitue un ""Miroir Divi"
