stable_ref,paragraph_id,speaker,run_start,run_end,source_segments_merged,presentation,run_text
LDC.T01.SEC113.005.P002,ldc_t01_sec113_5_p002,JESUS,0,136,2,block,"""Écoute bien : «J'étais parfaitement heureux dans le Sein de Mon Père. Il n'y avait aucun bien que Je ne possédais : Joi"
LDC.T01.SEC113.005.R02.P007,ldc_t01_sec113_5_r02_p007,JESUS,0,140,2,block,"'Je leur dis : «Mes enfants, donnez-Moi vos cœurs, qui sont Miens. En échange, Je vous donnerai tout ce que vous voudrez"
LDC.T01.SEC011.P010,ldc_t01_sec011_p010,JESUS,0,241,2,block,"'Fais comme si, de Ma bouche, tu entendais ceci : «Ma fille, Je veux que tu souffres un peu. Par ces souffrances, Je te "
LDC.T01.SEC113.005.R02.P010,ldc_t01_sec113_5_r02_p010,JESUS,0,132,2,block,"""Oh ! ne trompez pas Mes espérances !» En voyant les créatures résister à Mon Amour et s'éloigner de Moi, J'ai essayé de"
LDC.T05.1903-06-06.E001.P003,ldc_t05_1903_06_06_e001_p003,JESUS,1,198,2,inline,"'Ma fille, tout ce que tu souffres dans tes bras, tes jambes et ton cœur, unis-le à Mes propres souffrances dans les pla"
LDC.T05.1903-06-06.E001.P004,ldc_t05_1903_06_06_e001_p004,JESUS,0,284,3,block,'Et offre-toi à la Justice divine en réparation des mauvaises actions et des mauvais désirs des créatures en t\'unissant
LDC.T05.1903-06-15.E001.P004,ldc_t05_1903_06_15_e001_p004,JESUS,0,153,2,block,"'Si, au contraire, la personne se sert de ses sens pour Me glorifier, Je peux lui dire : ""Tu es Mes Yeux, Mes Oreilles, "
LDC.T05.1903-06-16.E001.P011,ldc_t05_1903_06_16_e001_p011,JESUS,0,230,5,block,"'Si, au contraire, l\'âme dit ""oui"" à un moment et ""non"" à un autre ; si elle cherche un but particulier cette fois et u"
LDC.T06.1903-12-10.E001.P005,ldc_t06_1903_12_10_e001_p005,JESUS,0,169,3,block,"""C'est la réalisation de : «Dieu est toujours ancien et toujours nouveau.» Ils ne se sentent jamais fatigués parce qu'il"
LDC.T08.1908-12-27.E001.P004,ldc_t08_1908_12_27_e001_p004,JESUS,67,124,2,inline,"""et que Je lui répondais : «Je t'aime, Je t'aime, ô Maman."""
LDC.T08.1908-12-27.E001.P007,ldc_t08_1908_12_27_e001_p007,JESUS,215,244,2,inline,"""Je lui dis aussi : «Je t'aime"""
LDC.T08.1908-12-27.E001.P010,ldc_t08_1908_12_27_e001_p010,JESUS,0,91,2,block,"""Cela est suffisant pour qu'un Dieu les honore en leur répondant : «Je vous aime Moi aussi !"""
LDC.T09.1910-07-04.E001.P008,ldc_t09_1910_07_04_e001_p008,JESUS,0,149,4,block,"""Si J'ai alors crié «Sitio !» («J'ai soif !»), il s'agissait de la soif extrême que Je ressentais que tous exhalent leur"
LDC.T09.1910-07-04.E001.P009,ldc_t09_1910_07_04_e001_p009,JESUS,0,101,2,block,"""En voyant que plusieurs allaient passer outre à ce désir, dans un profond chagrin, J'ai crié «Sitio !"""
LDC.T09.1910-07-04.E001.P010,ldc_t09_1910_07_04_e001_p010,JESUS,0,110,3,block,'Ce «Sitio !» continue encore à se faire entendre à tous et à chacun comme une cloche à la porte de leur cœur :'
LDC.T10.1911-11-02.E001.P003,ldc_t10_1911_11_02_e001_p003,JESUS,16,245,2,block,"""Mais, Ma fille, tu veux toujours savoir la raison. Je te le dis, les choses seront graves, très, très graves. Voilà la "
LDC.T10.1912-01-05.E001.P007,ldc_t10_1912_01_05_e001_p007,JESUS,0,169,3,block,"'Et si tu voulais en faire la demande, Je te répondrais franchement : “Je ne te connais pas. Où sont les documents qui i"
LDC.T11.1915-09-20.E001.P001,ldc_t11_1915_09_20_e001_p001,JESUS,319,534,2,block,"""Ma fille, les châtiments conduiront à la résurrection. Mais ils seront si nombreux que tous seront plongés dans le deui"
LDC.T11.1912-07-19.E001.P002,ldc_t11_1912_07_19_e001_p002,JESUS,1,276,2,inline,'Ma fille M\'envoie son rafraîchissement aussi à travers d\'autres. Parce que si elle n\'avait pas été attentive à M\'éc
