prev_ref,curr_ref,rule,decision,reason
LDC.T04.1900-10-22.E001.P003,LDC.T04.1900-10-22.E001.P004,function_word,approved_for_display,"function_word; prev ends ' pas la chaleur du'; curr starts 'soleil, que dirais'"
LDC.T04.1902-11-01.E001.P005,LDC.T04.1902-11-01.E001.P006,function_word,approved_for_display,"function_word; prev ends 'entendue depuis si'; curr starts 'longtemps, je me s'"
LDC.T05.1903-03-19.E001.P005,LDC.T05.1903-03-19.E001.P006,function_word,approved_for_display,function_word; prev ends ''aux fruits qui en'; curr starts 'résultent.'
LDC.T05.1903-06-16.E001.P008,LDC.T05.1903-06-16.E001.P009,function_word,approved_for_display,function_word; prev ends 'elle à Mes yeux et'; curr starts 'la plus intime ave'
LDC.T05.1903-10-02.E001.P010,LDC.T05.1903-10-02.E001.P011,function_word,approved_for_display,"function_word; prev ends ', une fraîcheur et'; curr starts 'une constance qui '"
LDC.T05.1903-10-07.E001.P001,LDC.T05.1903-10-07.E001.P002,function_word,approved_for_display,function_word; prev ends 'ent leur office et'; curr starts 'ils ne délaissent '
LDC.T06.1904-05-30.E001.P006,LDC.T06.1904-05-30.E001.P007,function_word,approved_for_display,"function_word; prev ends 'es se trouvent, et'; curr starts 'si cela te tient t'"
LDC.T09.1909-05-05.E001.P003,LDC.T09.1909-05-05.E001.P004,function_word,approved_for_display,function_word; prev ends 's les variétés des'; curr starts 'couleurs divines. '
LDC.T09.1909-05-25.E001.P005,LDC.T09.1909-05-25.E001.P006,function_word,approved_for_display,function_word; prev ends 'de cette erreur de'; curr starts 'ta part et J'en fa'
LDC.T09.1910-03-16.E001.P002,LDC.T09.1910-03-16.E001.P003,function_word,approved_for_display,function_word; prev ends 'e compétition pour'; curr starts 'voir qui pourrait '
LDC.T11.1913-09-25.E001.P002,LDC.T11.1913-09-25.E001.P003,function_word,approved_for_display,"function_word; prev ends 'oles et à tout, et'; curr starts 'qu'elle se tient l'"
LDC.T19.E0021.P030,LDC.T19.E0021.P031,function_word,approved_for_display,"function_word; prev ends 'u fer rouillé, des'; curr starts 'morceaux d'argile,'"
LDC.T23.E0009.P078,LDC.T23.E0009.P079,function_word,approved_for_display,function_word; prev ends 'e ou une nuance de'; curr starts 'couleur à une œuvr'
LDC.T23.E0011.P031,LDC.T23.E0011.P032,function_word,approved_for_display,"function_word; prev ends ' sans harmonie, et'; curr starts 'avec notre précieu'"
LDC.T23.E0018.P095,LDC.T23.E0018.P096,function_word,approved_for_display,function_word; prev ends 'u sur la terre par'; curr starts 'celle qui déjà Le '
LDC.T33.E0051.P019,LDC.T33.E0051.P020,function_word,approved_for_display,function_word; prev ends 'tu dois savoir que'; curr starts 'dès l’instant où l'
LDC.T34.E0003.P001,LDC.T34.E0003.P002,function_word,approved_for_display,"function_word; prev ends 'e les a aimées, et'; curr starts 'de pouvoir leur di'"
LDC.T34.E0011.P004,LDC.T34.E0011.P005,function_word,approved_for_display,function_word; prev ends 'tu dois savoir que'; curr starts 'le chef du Royaume'
LDC.T34.E0022.P033,LDC.T34.E0022.P034,function_word,approved_for_display,function_word; prev ends 'eut donner le plus'; curr starts 'afin que Ma Volont'
LDC.T04.1903-02-01.E001.P006,LDC.T04.1903-02-01.E001.P007,short_lower,approved_for_display,short_lower; prev ends ' pensées et de mes'; curr starts 'paroles.'
LDC.T05.INTRO.PREFACE.001.P007,LDC.T05.INTRO.PREFACE.001.P008,short_lower,approved_for_display,short_lower; prev ends 'Pour usage privé'; curr starts 'http://volontedivi'
LDC.T12.1917-11-20.E001.P004,LDC.T12.1917-11-20.E001.P005,short_lower,approved_for_display,"short_lower; prev ends ' pièges, capturent'; curr starts 'l'homme.»'"
LDC.T17.E0052.P022,LDC.T17.E0052.P023,short_lower,approved_for_display,short_lower; prev ends 're que tu manges :'; curr starts 'en tout.'
LDC.T19.E0020.P031,LDC.T19.E0020.P032,short_lower,approved_for_display,short_lower; prev ends 'gées de Vie Divine'; curr starts 'afin qu'elle'
LDC.T19.E0041.P073,LDC.T19.E0041.P074,short_lower,approved_for_display,"short_lower; prev ends 's qu'Elle possède,'; curr starts 'afin'"
LDC.T19.E0051.P004,LDC.T19.E0051.P005,short_lower,approved_for_display,"short_lower; prev ends 'ique avec le mien,'; curr starts 'en voulant'"
LDC.T19.E0060.P005,LDC.T19.E0060.P006,short_lower,approved_for_display,"short_lower; prev ends 'e fit et souffrit,'; curr starts 'afin que'"
LDC.T20.E0002.P068,LDC.T20.E0002.P069,short_lower,approved_for_display,short_lower; prev ends 'er dans Ta Volonté'; curr starts 'pour Te donner'
LDC.T20.E0012.P045,LDC.T20.E0012.P046,short_lower,approved_for_display,"short_lower; prev ends '- dans sa mort,'; curr starts 'afin que'"
LDC.T20.E0019.P022,LDC.T20.E0019.P023,short_lower,approved_for_display,"short_lower; prev ends 'la mer des vôtres,'; curr starts 'afin que'"
LDC.T20.E0021.P081,LDC.T20.E0021.P082,short_lower,approved_for_display,"short_lower; prev ends ', était nécessaire'; curr starts 'afin qu’en changea'"
LDC.T20.E0046.P070,LDC.T20.E0046.P071,short_lower,approved_for_display,"short_lower; prev ends 'ns notre Infinité,'; curr starts 'afin'"
LDC.T22.E0002.P094,LDC.T22.E0002.P095,short_lower,approved_for_display,"short_lower; prev ends 'âme où Elle règne,'; curr starts 'de telle sorte'"
LDC.T22.E0022.P027,LDC.T22.E0022.P028,short_lower,approved_for_display,short_lower; prev ends 'it en elles la Vie'; curr starts 'divine.'
LDC.T22.E0025.P139,LDC.T22.E0025.P140,short_lower,approved_for_display,short_lower; prev ends 'libère de Moi-même'; curr starts 'afin'
LDC.T22.E0026.P022,LDC.T22.E0026.P023,short_lower,approved_for_display,"short_lower; prev ends 'de mon “Je T’aime”'; curr starts 'pour Te demander,'"
LDC.T23.E0001.P081,LDC.T23.E0001.P082,short_lower,approved_for_display,short_lower; prev ends 'te la Création est'; curr starts 'telle'
LDC.T23.E0001.P108,LDC.T23.E0001.P109,short_lower,approved_for_display,"short_lower; prev ends 'gne de Ma Volonté,'; curr starts 'ces Actes'"
LDC.T23.E0003.P003,LDC.T23.E0003.P004,short_lower,approved_for_display,short_lower; prev ends 'aire avancer ou me'; curr starts 'corriger. »'
LDC.T23.E0011.P056,LDC.T23.E0011.P057,short_lower,approved_for_display,short_lower; prev ends 'es Vents impétueux'; curr starts 'qui attireront l’a'
LDC.T23.E0011.P071,LDC.T23.E0011.P072,short_lower,approved_for_display,"short_lower; prev ends 'de Votre Royaume”,'; curr starts 'semblables enfin'"
